Sucursal,País,Ciudad,Mes,Categoría,Ventas,Empleados Sucursal
Sucursal_2,México,Guadalajara,2024-05,Lavadoras,38479,38
Sucursal_2,México,Guadalajara,2024-05,Televisores,92517,38
Sucursal_2,México,Guadalajara,2024-05,Microondas,36403,38
Sucursal_2,México,Guadalajara,2024-06,Refrigeradores,32167,38
Sucursal_2,México,Guadalajara,2024-06,Lavadoras,48007,38
Sucursal_2,México,Guadalajara,2024-06,Televisores,131518,38
Sucursal_2,México,Guadalajara,2024-06,Microondas,51766,38
Sucursal_2,México,Guadalajara,2024-07,Refrigeradores,39619,38
Sucursal_2,México,Guadalajara,2024-07,Lavadoras,38003,38
Sucursal_2,México,Guadalajara,2024-07,Televisores,113215,38
Sucursal_2,México,Guadalajara,2024-07,Microondas,41114,38
Sucursal_2,México,Guadalajara,2024-08,Refrigeradores,41687,38
Sucursal_2,México,Guadalajara,2024-08,Lavadoras,27445,38
Sucursal_2,México,Guadalajara,2024-08,Televisores,101749,38
Sucursal_2,México,Guadalajara,2024-08,Microondas,33009,38
Sucursal_2,México,Guadalajara,2024-09,Refrigeradores,15882,38
Sucursal_2,México,Guadalajara,2024-09,Lavadoras,33635,38
Sucursal_2,México,Guadalajara,2024-09,Televisores,64006,38
Sucursal_2,México,Guadalajara,2024-09,Microondas,14763,38
Sucursal_2,México,Guadalajara,2024-10,Refrigeradores,43459,38
Sucursal_2,México,Guadalajara,2024-10,Lavadoras,24894,38
Sucursal_2,México,Guadalajara,2024-10,Televisores,81275,38
Sucursal_2,México,Guadalajara,2024-10,Microondas,53090,38
Sucursal_2,México,Guadalajara,2024-11,Refrigeradores,26581,38
Sucursal_2,México,Guadalajara,2024-11,Lavadoras,11311,38
Sucursal_2,México,Guadalajara,2024-11,Televisores,161019,38
Sucursal_2,México,Guadalajara,2024-11,Microondas,47706,38
Sucursal_2,México,Guadalajara,2024-12,Refrigeradores,40940,38
Sucursal_2,México,Guadalajara,2024-12,Lavadoras,36572,38
Sucursal_2,México,Guadalajara,2024-12,Televisores,90021,38
Sucursal_2,México,Guadalajara,2024-12,Microondas,29412,38
Sucursal_3,Colombia,Bogotá,2024-01,Refrigeradores,19376,38
Sucursal_3,Colombia,Bogotá,2024-01,Lavadoras,74266,38
Sucursal_3,Colombia,Bogotá,2024-01,Televisores,116373,38
Sucursal_3,Colombia,Bogotá,2024-01,Microondas,71424,38
Sucursal_3,Colombia,Bogotá,2024-02,Refrigeradores,76319,38
Sucursal_3,Colombia,Bogotá,2024-02,Lavadoras,48916,38
Sucursal_3,Colombia,Bogotá,2024-02,Televisores,228977,38
Sucursal_3,Colombia,Bogotá,2024-02,Microondas,60603,38
Sucursal_3,Colombia,Bogotá,2024-03,Refrigeradores,33620,38
Sucursal_3,Colombia,Bogotá,2024-03,Lavadoras,50794,38
Sucursal_3,Colombia,Bogotá,2024-03,Televisores,226283,38
Sucursal_3,Colombia,Bogotá,2024-03,Microondas,64596,38
Sucursal_3,Colombia,Bogotá,2024-04,Refrigeradores,38166,38
Sucursal_3,Colombia,Bogotá,2024-04,Lavadoras,25915,38
Sucursal_3,Colombia,Bogotá,2024-04,Televisores,108273,38
Sucursal_3,Colombia,Bogotá,2024-04,Microondas,77496,38
Sucursal_3,Colombia,Bogotá,2024-05,Refrigeradores,21337,38
Sucursal_3,Colombia,Bogotá,2024-05,Lavadoras,46560,38
Sucursal_3,Colombia,Bogotá,2024-05,Televisores,146355,38
Sucursal_3,Colombia,Bogotá,2024-05,Microondas,55231,38
Sucursal_3,Colombia,Bogotá,2024-06,Refrigeradores,27395,38
Sucursal_3,Colombia,Bogotá,2024-06,Lavadoras,37333,38
Sucursal_3,Colombia,Bogotá,2024-06,Televisores,239561,38
Sucursal_3,Colombia,Bogotá,2024-06,Microondas,33575,38
Sucursal_3,Colombia,Bogotá,2024-07,Refrigeradores,33652,38
Sucursal_3,Colombia,Bogotá,2024-07,Lavadoras,50338,38
Sucursal_3,Colombia,Bogotá,2024-07,Televisores,224853,38
Sucursal_3,Colombia,Bogotá,2024-07,Microondas,54359,38
Sucursal_3,Colombia,Bogotá,2024-08,Refrigeradores,17075,38
Sucursal_3,Colombia,Bogotá,2024-08,Lavadoras,63554,38
Sucursal_3,Colombia,Bogotá,2024-08,Televisores,94982,38
Sucursal_3,Colombia,Bogotá,2024-08,Microondas,74413,38
Sucursal_3,Colombia,Bogotá,2024-09,Refrigeradores,46627,38
Sucursal_3,Colombia,Bogotá,2024-09,Lavadoras,67104,38
Sucursal_3,Colombia,Bogotá,2024-09,Televisores,133352,38
Sucursal_3,Colombia,Bogotá,2024-09,Microondas,59795,38
Sucursal_3,Colombia,Bogotá,2024-10,Refrigeradores,76406,38
Sucursal_3,Colombia,Bogotá,2024-10,Lavadoras,23746,38
Sucursal_3,Colombia,Bogotá,2024-10,Televisores,112306,38
Sucursal_3,Colombia,Bogotá,2024-10,Microondas,78131,38
Sucursal_3,Colombia,Bogotá,2024-11,Refrigeradores,76976,38
Sucursal_3,Colombia,Bogotá,2024-11,Lavadoras,37162,38
Sucursal_3,Colombia,Bogotá,2024-11,Televisores,168531,38
Sucursal_3,Colombia,Bogotá,2024-11,Microondas,72908,38
Sucursal_3,Colombia,Bogotá,2024-12,Refrigeradores,66384,38
Sucursal_3,Colombia,Bogotá,2024-12,Lavadoras,43712,38
Sucursal_3,Colombia,Bogotá,2024-12,Televisores,124108,38
Sucursal_3,Colombia,Bogotá,2024-12,Microondas,70991,38
Sucursal_4,Chile,Santiago,2024-01,Refrigeradores,20317,35
Sucursal_4,Chile,Santiago,2024-01,Lavadoras,137290,35
Sucursal_4,Chile,Santiago,2024-01,Televisores,19141,35
Sucursal_4,Chile,Santiago,2024-01,Microondas,26036,35
Sucursal_4,Chile,Santiago,2024-02,Refrigeradores,12941,35
Sucursal_4,Chile,Santiago,2024-02,Lavadoras,174287,35
Sucursal_4,Chile,Santiago,2024-02,Televisores,43695,35
Sucursal_4,Chile,Santiago,2024-02,Microondas,51136,35
Sucursal_4,Chile,Santiago,2024-03,Refrigeradores,61925,35
Sucursal_4,Chile,Santiago,2024-03,Lavadoras,65963,35
Sucursal_4,Chile,Santiago,2024-03,Televisores,48762,35
Sucursal_4,Chile,Santiago,2024-03,Microondas,58135,35
Sucursal_4,Chile,Santiago,2024-04,Refrigeradores,23810,35
Sucursal_4,Chile,Santiago,2024-04,Lavadoras,145195,35
Sucursal_4,Chile,Santiago,2024-04,Televisores,43746,35
Sucursal_4,Chile,Santiago,2024-04,Microondas,18306,35
Sucursal_4,Chile,Santiago,2024-05,Refrigeradores,39190,35
Sucursal_4,Chile,Santiago,2024-05,Lavadoras,73663,35
Sucursal_4,Chile,Santiago,2024-05,Televisores,21901,35
Sucursal_4,Chile,Santiago,2024-05,Microondas,40300,35
Sucursal_4,Chile,Santiago,2024-06,Refrigeradores,39287,35
Sucursal_4,Chile,Santiago,2024-06,Lavadoras,87947,35
Sucursal_4,Chile,Santiago,2024-06,Televisores,26305,35
Sucursal_4,Chile,Santiago,2024-06,Microondas,24182,35
Sucursal_4,Chile,Santiago,2024-07,Refrigeradores,13426,35
Sucursal_4,Chile,Santiago,2024-07,Lavadoras,65173,35
Sucursal_4,Chile,Santiago,2024-07,Televisores,50672,35
Sucursal_4,Chile,Santiago,2024-07,Microondas,29433,35
Sucursal_4,Chile,Santiago,2024-08,Refrigeradores,36701,35
Sucursal_4,Chile,Santiago,2024-08,Lavadoras,142361,35
Sucursal_4,Chile,Santiago,2024-08,Televisores,55090,35
Sucursal_4,Chile,Santiago,2024-08,Microondas,25679,35
Sucursal_4,Chile,Santiago,2024-09,Refrigeradores,63043,35
Sucursal_4,Chile,Santiago,2024-09,Lavadoras,168922,35
Sucursal_4,Chile,Santiago,2024-09,Televisores,43411,35
Sucursal_4,Chile,Santiago,2024-09,Microondas,43347,35
Sucursal_4,Chile,Santiago,2024-10,Refrigeradores,17631,35
Sucursal_4,Chile,Santiago,2024-10,Lavadoras,78765,35
Sucursal_4,Chile,Santiago,2024-10,Televisores,19148,35
Sucursal_4,Chile,Santiago,2024-10,Microondas,54566,35
Sucursal_4,Chile,Santiago,2024-11,Refrigeradores,30329,35
Sucursal_4,Chile,Santiago,2024-11,Lavadoras,137573,35
Sucursal_4,Chile,Santiago,2024-11,Televisores,63054,35
Sucursal_4,Chile,Santiago,2024-11,Microondas,57947,35
Sucursal_4,Chile,Santiago,2024-12,Refrigeradores,35040,35
Sucursal_4,Chile,Santiago,2024-12,Lavadoras,138470,35
Sucursal_4,Chile,Santiago,2024-12,Televisores,41310,35
Sucursal_4,Chile,Santiago,2024-12,Microondas,18805,35
Sucursal_5,México,Ciudad de México,2024-01,Refrigeradores,60427,49
Sucursal_5,México,Ciudad de México,2024-01,Lavadoras,76137,49
Sucursal_5,México,Ciudad de México,2024-01,Televisores,94356,49
Sucursal_5,México,Ciudad de México,2024-01,Microondas,40369,49
Sucursal_5,México,Ciudad de México,2024-02,Refrigeradores,63528,49
Sucursal_5,México,Ciudad de México,2024-02,Lavadoras,69316,49
Sucursal_5,México,Ciudad de México,2024-02,Televisores,143631,49
Sucursal_5,México,Ciudad de México,2024-02,Microondas,30376,49
Sucursal_5,México,Ciudad de México,2024-03,Refrigeradores,56517,49
Sucursal_5,México,Ciudad de México,2024-03,Lavadoras,78509,49
Sucursal_5,México,Ciudad de México,2024-03,Televisores,152990,49
Sucursal_5,México,Ciudad de México,2024-03,Microondas,54280,49
Sucursal_5,México,Ciudad de México,2024-04,Refrigeradores,48131,49
Sucursal_5,México,Ciudad de México,2024-04,Lavadoras,49054,49
Sucursal_5,México,Ciudad de México,2024-04,Televisores,107568,49
Sucursal_5,México,Ciudad de México,2024-04,Microondas,18548,49
Sucursal_5,México,Ciudad de México,2024-05,Refrigeradores,82033,49
Sucursal_5,México,Ciudad de México,2024-05,Lavadoras,36551,49
Sucursal_5,México,Ciudad de México,2024-05,Televisores,144142,49
Sucursal_5,México,Ciudad de México,2024-05,Microondas,60495,49
Sucursal_5,México,Ciudad de México,2024-06,Refrigeradores,42498,49
Sucursal_5,México,Ciudad de México,2024-06,Lavadoras,37998,49
Sucursal_5,México,Ciudad de México,2024-06,Televisores,93878,49
Sucursal_5,México,Ciudad de México,2024-06,Microondas,29700,49
Sucursal_5,México,Ciudad de México,2024-07,Refrigeradores,27926,49
Sucursal_5,México,Ciudad de México,2024-07,Lavadoras,59235,49
Sucursal_5,México,Ciudad de México,2024-07,Televisores,120973,49
Sucursal_5,México,Ciudad de México,2024-07,Microondas,33313,49
Sucursal_5,México,Ciudad de México,2024-08,Refrigeradores,45687,49
Sucursal_5,México,Ciudad de México,2024-08,Lavadoras,64157,49
Sucursal_5,México,Ciudad de México,2024-08,Televisores,170472,49
Sucursal_5,México,Ciudad de México,2024-08,Microondas,68745,49
Sucursal_5,México,Ciudad de México,2024-09,Refrigeradores,24128,49
Sucursal_5,México,Ciudad de México,2024-09,Lavadoras,24486,49
Sucursal_5,México,Ciudad de México,2024-09,Televisores,168685,49
Sucursal_5,México,Ciudad de México,2024-09,Microondas,78565,49
Sucursal_5,México,Ciudad de México,2024-10,Refrigeradores,82111,49
Sucursal_5,México,Ciudad de México,2024-10,Lavadoras,49216,49
Sucursal_5,México,Ciudad de México,2024-10,Televisores,226447,49
Sucursal_5,México,Ciudad de México,2024-10,Microondas,49392,49
Sucursal_5,México,Ciudad de México,2024-11,Refrigeradores,77365,49
Sucursal_5,México,Ciudad de México,2024-11,Lavadoras,61271,49
Sucursal_5,México,Ciudad de México,2024-11,Televisores,203546,49
Sucursal_5,México,Ciudad de México,2024-11,Microondas,40202,49
Sucursal_5,México,Ciudad de México,2024-12,Refrigeradores,25664,49
Sucursal_5,México,Ciudad de México,2024-12,Lavadoras,23572,49
Sucursal_5,México,Ciudad de México,2024-12,Televisores,142733,49
Sucursal_5,México,Ciudad de México,2024-12,Microondas,36290,49
Sucursal_6,Colombia,Medellín,2024-01,Refrigeradores,15195,43
Sucursal_6,Colombia,Medellín,2024-01,Lavadoras,25376,43
Sucursal_6,Colombia,Medellín,2024-01,Televisores,69381,43
Sucursal_6,Colombia,Medellín,2024-01,Microondas,23543,43
Sucursal_6,Colombia,Medellín,2024-02,Refrigeradores,15180,43
Sucursal_6,Colombia,Medellín,2024-02,Lavadoras,15042,43
Sucursal_6,Colombia,Medellín,2024-02,Televisores,57623,43
Sucursal_6,Colombia,Medellín,2024-02,Microondas,30304,43
Sucursal_6,Colombia,Medellín,2024-03,Refrigeradores,31852,43
Sucursal_6,Colombia,Medellín,2024-03,Lavadoras,26430,43
Sucursal_6,Colombia,Medellín,2024-03,Televisores,78001,43
Sucursal_6,Colombia,Medellín,2024-03,Microondas,13264,43
Sucursal_6,Colombia,Medellín,2024-04,Refrigeradores,18848,43
Sucursal_6,Colombia,Medellín,2024-04,Lavadoras,36210,43
Sucursal_6,Colombia,Medellín,2024-04,Televisores,57321,43
Sucursal_6,Colombia,Medellín,2024-04,Microondas,31743,43
Sucursal_6,Colombia,Medellín,2024-05,Refrigeradores,29456,43
Sucursal_6,Colombia,Medellín,2024-05,Lavadoras,29887,43
Sucursal_6,Colombia,Medellín,2024-05,Televisores,81024,43
Sucursal_6,Colombia,Medellín,2024-05,Microondas,30908,43
Sucursal_6,Colombia,Medellín,2024-06,Refrigeradores,22171,43
Sucursal_6,Colombia,Medellín,2024-06,Lavadoras,46509,43
Sucursal_6,Colombia,Medellín,2024-06,Televisores,62550,43
Sucursal_6,Colombia,Medellín,2024-06,Microondas,26903,43
Sucursal_6,Colombia,Medellín,2024-07,Refrigeradores,35238,43
Sucursal_6,Colombia,Medellín,2024-07,Lavadoras,33963,43
Sucursal_6,Colombia,Medellín,2024-07,Televisores,123234,43
Sucursal_6,Colombia,Medellín,2024-07,Microondas,31434,43
Sucursal_6,Colombia,Medellín,2024-08,Refrigeradores,31151,43
Sucursal_6,Colombia,Medellín,2024-08,Lavadoras,19153,43
Sucursal_6,Colombia,Medellín,2024-08,Televisores,67848,43
Sucursal_6,Colombia,Medellín,2024-08,Microondas,14247,43
Sucursal_6,Colombia,Medellín,2024-09,Refrigeradores,19144,43
Sucursal_6,Colombia,Medellín,2024-09,Lavadoras,27356,43
Sucursal_6,Colombia,Medellín,2024-09,Televisores,96102,43
Sucursal_6,Colombia,Medellín,2024-09,Microondas,13492,43
Sucursal_6,Colombia,Medellín,2024-10,Refrigeradores,37134,43
Sucursal_6,Colombia,Medellín,2024-10,Lavadoras,22033,43
Sucursal_6,Colombia,Medellín,2024-10,Televisores,102275,43
Sucursal_6,Colombia,Medellín,2024-10,Microondas,22603,43
Sucursal_6,Colombia,Medellín,2024-11,Refrigeradores,30098,43
Sucursal_6,Colombia,Medellín,2024-11,Lavadoras,9631,43
Sucursal_6,Colombia,Medellín,2024-11,Televisores,123926,43
Sucursal_6,Colombia,Medellín,2024-11,Microondas,9400,43
Sucursal_6,Colombia,Medellín,2024-12,Refrigeradores,17498,43
Sucursal_6,Colombia,Medellín,2024-12,Lavadoras,36179,43
Sucursal_6,Colombia,Medellín,2024-12,Televisores,115632,43
Sucursal_6,Colombia,Medellín,2024-12,Microondas,11335,43
Sucursal_7,México,Guadalajara,2024-01,Refrigeradores,28805,56
Sucursal_7,México,Guadalajara,2024-01,Lavadoras,53390,56
Sucursal_7,México,Guadalajara,2024-01,Televisores,58822,56
Sucursal_7,México,Guadalajara,2024-01,Microondas,26959,56
Sucursal_7,México,Guadalajara,2024-02,Refrigeradores,16289,56
Sucursal_7,México,Guadalajara,2024-02,Lavadoras,16285,56
Sucursal_7,México,Guadalajara,2024-02,Televisores,73263,56
Sucursal_7,México,Guadalajara,2024-02,Microondas,29402,56
Sucursal_7,México,Guadalajara,2024-03,Refrigeradores,31425,56
Sucursal_7,México,Guadalajara,2024-03,Lavadoras,52379,56
Sucursal_7,México,Guadalajara,2024-03,Televisores,126072,56
Sucursal_7,México,Guadalajara,2024-03,Microondas,35897,56
Sucursal_7,México,Guadalajara,2024-04,Refrigeradores,53469,56
Sucursal_7,México,Guadalajara,2024-04,Lavadoras,48110,56
Sucursal_7,México,Guadalajara,2024-04,Televisores,92458,56
Sucursal_7,México,Guadalajara,2024-04,Microondas,19548,56
Sucursal_7,México,Guadalajara,2024-05,Refrigeradores,52250,56
Sucursal_7,México,Guadalajara,2024-05,Lavadoras,21825,56
Sucursal_7,México,Guadalajara,2024-05,Televisores,151657,56
Sucursal_7,México,Guadalajara,2024-05,Microondas,11912,56
Sucursal_7,México,Guadalajara,2024-06,Refrigeradores,42997,56
Sucursal_7,México,Guadalajara,2024-06,Lavadoras,17477,56
Sucursal_7,México,Guadalajara,2024-06,Televisores,115007,56
Sucursal_7,México,Guadalajara,2024-06,Microondas,15757,56
Sucursal_7,México,Guadalajara,2024-07,Refrigeradores,52829,56
Sucursal_7,México,Guadalajara,2024-07,Lavadoras,14641,56
Sucursal_7,México,Guadalajara,2024-07,Televisores,60488,56
Sucursal_7,México,Guadalajara,2024-07,Microondas,18911,56
Sucursal_7,México,Guadalajara,2024-08,Refrigeradores,19662,56
Sucursal_7,México,Guadalajara,2024-08,Lavadoras,28663,56
Sucursal_7,México,Guadalajara,2024-08,Televisores,82636,56
Sucursal_7,México,Guadalajara,2024-08,Microondas,17630,56
Sucursal_7,México,Guadalajara,2024-09,Refrigeradores,38843,56
Sucursal_7,México,Guadalajara,2024-09,Lavadoras,26243,56
Sucursal_7,México,Guadalajara,2024-09,Televisores,67749,56
Sucursal_7,México,Guadalajara,2024-09,Microondas,19323,56
Sucursal_7,México,Guadalajara,2024-10,Refrigeradores,23906,56
Sucursal_7,México,Guadalajara,2024-10,Lavadoras,27707,56
Sucursal_7,México,Guadalajara,2024-10,Televisores,78911,56
Sucursal_7,México,Guadalajara,2024-10,Microondas,18025,56
Sucursal_7,México,Guadalajara,2024-11,Refrigeradores,27906,56
Sucursal_7,México,Guadalajara,2024-11,Lavadoras,48719,56
Sucursal_7,México,Guadalajara,2024-11,Televisores,118465,56
Sucursal_7,México,Guadalajara,2024-11,Microondas,31363,56
Sucursal_7,México,Guadalajara,2024-12,Refrigeradores,47954,56
Sucursal_7,México,Guadalajara,2024-12,Lavadoras,21718,56
Sucursal_7,México,Guadalajara,2024-12,Televisores,135789,56
Sucursal_7,México,Guadalajara,2024-12,Microondas,29356,56
Sucursal_8,Colombia,Medellín,2024-01,Refrigeradores,12912,38
Sucursal_8,Colombia,Medellín,2024-01,Lavadoras,35548,38
Sucursal_8,Colombia,Medellín,2024-01,Televisores,101580,38
Sucursal_8,Colombia,Medellín,2024-01,Microondas,34857,38
Sucursal_8,Colombia,Medellín,2024-02,Refrigeradores,34497,38
Sucursal_8,Colombia,Medellín,2024-02,Lavadoras,10849,38
Sucursal_8,Colombia,Medellín,2024-02,Televisores,113268,38
Sucursal_8,Colombia,Medellín,2024-02,Microondas,15675,38
Sucursal_8,Colombia,Medellín,2024-03,Refrigeradores,34720,38
Sucursal_8,Colombia,Medellín,2024-03,Lavadoras,20205,38
Sucursal_8,Colombia,Medellín,2024-03,Televisores,99226,38
Sucursal_8,Colombia,Medellín,2024-03,Microondas,19248,38
Sucursal_8,Colombia,Medellín,2024-04,Refrigeradores,22360,38
Sucursal_8,Colombia,Medellín,2024-04,Lavadoras,28157,38
Sucursal_8,Colombia,Medellín,2024-04,Televisores,72403,38
Sucursal_8,Colombia,Medellín,2024-04,Microondas,21545,38
Sucursal_8,Colombia,Medellín,2024-05,Refrigeradores,32550,38
Sucursal_8,Colombia,Medellín,2024-05,Lavadoras,42404,38
Sucursal_8,Colombia,Medellín,2024-05,Televisores,50786,38
Sucursal_8,Colombia,Medellín,2024-05,Microondas,19433,38
Sucursal_8,Colombia,Medellín,2024-06,Refrigeradores,17866,38
Sucursal_8,Colombia,Medellín,2024-06,Lavadoras,44977,38
Sucursal_8,Colombia,Medellín,2024-06,Televisores,62066,38
Sucursal_8,Colombia,Medellín,2024-06,Microondas,22477,38
Sucursal_8,Colombia,Medellín,2024-07,Refrigeradores,36223,38
Sucursal_8,Colombia,Medellín,2024-07,Lavadoras,30243,38
Sucursal_8,Colombia,Medellín,2024-07,Televisores,46853,38
Sucursal_8,Colombia,Medellín,2024-07,Microondas,27050,38
Sucursal_8,Colombia,Medellín,2024-08,Refrigeradores,21721,38
Sucursal_8,Colombia,Medellín,2024-08,Lavadoras,45181,38
Sucursal_8,Colombia,Medellín,2024-08,Televisores,96705,38
Sucursal_8,Colombia,Medellín,2024-08,Microondas,10139,38
Sucursal_8,Colombia,Medellín,2024-09,Refrigeradores,19589,38
Sucursal_8,Colombia,Medellín,2024-09,Lavadoras,22159,38
Sucursal_8,Colombia,Medellín,2024-09,Televisores,90229,38
Sucursal_8,Colombia,Medellín,2024-09,Microondas,30570,38
Sucursal_8,Colombia,Medellín,2024-10,Refrigeradores,39305,38
Sucursal_8,Colombia,Medellín,2024-10,Lavadoras,15396,38
Sucursal_8,Colombia,Medellín,2024-10,Televisores,74889,38
Sucursal_8,Colombia,Medellín,2024-10,Microondas,34016,38
Sucursal_8,Colombia,Medellín,2024-11,Refrigeradores,43917,38
Sucursal_8,Colombia,Medellín,2024-11,Lavadoras,45857,38
Sucursal_8,Colombia,Medellín,2024-11,Televisores,109927,38
Sucursal_8,Colombia,Medellín,2024-11,Microondas,45810,38
Sucursal_8,Colombia,Medellín,2024-12,Refrigeradores,21447,38
Sucursal_8,Colombia,Medellín,2024-12,Lavadoras,11057,38
Sucursal_8,Colombia,Medellín,2024-12,Televisores,48536,38
Sucursal_8,Colombia,Medellín,2024-12,Microondas,28624,38
Sucursal_9,Perú,Arequipa,2024-01,Refrigeradores,67750,36
Sucursal_9,Perú,Arequipa,2024-01,Lavadoras,41023,36
Sucursal_9,Perú,Arequipa,2024-01,Televisores,13628,36
Sucursal_9,Perú,Arequipa,2024-01,Microondas,179983,36
Sucursal_9,Perú,Arequipa,2024-02,Refrigeradores,44147,36
Sucursal_9,Perú,Arequipa,2024-02,Lavadoras,27049,36
Sucursal_9,Perú,Arequipa,2024-02,Televisores,16638,36
Sucursal_9,Perú,Arequipa,2024-02,Microondas,122288,36
Sucursal_9,Perú,Arequipa,2024-03,Refrigeradores,20815,36
Sucursal_9,Perú,Arequipa,2024-03,Lavadoras,60439,36
Sucursal_9,Perú,Arequipa,2024-03,Televisores,25206,36
Sucursal_9,Perú,Arequipa,2024-03,Microondas,69910,36
Sucursal_9,Perú,Arequipa,2024-04,Refrigeradores,39782,36
Sucursal_9,Perú,Arequipa,2024-04,Lavadoras,51108,36
Sucursal_9,Perú,Arequipa,2024-04,Televisores,32994,36
Sucursal_9,Perú,Arequipa,2024-04,Microondas,201292,36
Sucursal_9,Perú,Arequipa,2024-05,Refrigeradores,49855,36
Sucursal_9,Perú,Arequipa,2024-05,Lavadoras,62987,36
Sucursal_9,Perú,Arequipa,2024-05,Televisores,52087,36
Sucursal_9,Perú,Arequipa,2024-05,Microondas,125378,36
Sucursal_9,Perú,Arequipa,2024-06,Refrigeradores,38109,36
Sucursal_9,Perú,Arequipa,2024-06,Lavadoras,55878,36
Sucursal_9,Perú,Arequipa,2024-06,Televisores,30254,36
Sucursal_9,Perú,Arequipa,2024-06,Microondas,68402,36
Sucursal_9,Perú,Arequipa,2024-07,Refrigeradores,16214,36
Sucursal_9,Perú,Arequipa,2024-07,Lavadoras,25281,36
Sucursal_9,Perú,Arequipa,2024-07,Televisores,63041,36
Sucursal_9,Perú,Arequipa,2024-07,Microondas,164477,36
